train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,rollout/exploration_rate
5412,21752,-141.97924283999998,25,0.301250696182251,869,228,97.42,0.0004,0.8922198198198199
5508,22135,-139.60503932000003,25,0.24744737148284912,870,232,97.22,0.0004,0.8903220720720721
5612,22550,-140.62039866,25,0.35929885506629944,870,236,97.91,0.0004,0.8882657657657658
5725,23004,-136.76937761000002,26,0.16597267985343933,871,240,98.06,0.0004,0.8860162162162162
5831,23428,-138.64172686,26,0.2176021933555603,870,244,98.57,0.0004,0.8839153153153153
5932,23829,-138.09248111,27,1.3064161539077759,871,248,97.64,0.0004,0.8819283783783783
6013,24155,-133.90305892000003,27,0.6593037247657776,872,252,97.68,0.0004,0.8803130630630631
6108,24534,-136.72893130000003,28,0.17814816534519196,873,256,98.02,0.0004,0.878435135135135
6217,24969,-133.81855492,28,0.2549862861633301,874,260,98.92,0.0004,0.8762797297297298
6332,25430,-134.59170028999998,29,0.2799503207206726,873,264,99.92,0.0004,0.8739954954954955
6440,25863,-134.23949927,29,0.2636284828186035,874,268,100.01,0.0004,0.8718499999999999
6576,26407,-134.48031903,30,0.2458435297012329,873,272,101.54,0.0004,0.8691545045045045
6677,26812,-136.1480125,30,0.18064744770526886,873,276,102.05,0.0004,0.8671477477477476
6788,27253,-133.07624789,31,0.4004363417625427,871,280,102.51,0.0004,0.8649626126126126
6881,27628,-135.5218017,31,0.14134657382965088,871,284,102.9,0.0004,0.8631045045045045
6979,28018,-134.96577467999998,32,0.36248013377189636,872,288,102.49,0.0004,0.861172072072072
7079,28419,-137.73552519,32,0.3484284281730652,872,292,102.92,0.0004,0.8591851351351352
7188,28854,-135.95269408000001,33,0.19388480484485626,871,296,102.9,0.0004,0.8570297297297297
7297,29289,-138.82850334,33,5.804477214813232,871,300,103.81,0.0004,0.8548743243243244
7403,29715,-135.70269773,34,0.41171327233314514,869,304,104.42,0.0004,0.8527635135135135
7492,30069,-131.89572562,34,0.5583055019378662,870,308,104.16,0.0004,0.8510094594594595
7599,30498,-132.7872069,35,1.8438469171524048,870,312,104.36,0.0004,0.8488837837837837
7708,30934,-131.55098399000002,35,3.3558285236358643,869,316,104.49,0.0004,0.8467234234234234
7824,31398,-132.94236048000002,36,1.16313898563385,869,320,105.36,0.0004,0.8444243243243243
7920,31782,-134.34036824,36,0.4693588316440582,870,324,104.75,0.0004,0.8425216216216216
8011,32147,-133.86798402,36,6.235620975494385,870,328,103.95,0.0004,0.8407130630630631
8112,32550,-133.25819785,37,3.4565045833587646,871,332,104.15,0.0004,0.8387162162162163
8225,33003,-136.25828101000002,37,0.5098088383674622,870,336,104.53,0.0004,0.8364716216216216
8327,33409,-136.46575413,38,0.3238486051559448,871,340,104.05,0.0004,0.8344599099099099
8417,33772,-135.25338087,38,0.7413371801376343,871,344,103.44,0.0004,0.8326612612612613
8521,34185,-134.08738680000002,39,0.14000019431114197,872,348,103.56,0.0004,0.8306148648648648
8648,34693,-136.59738812,39,3.7956039905548096,872,352,105.38,0.0004,0.8280977477477478
8754,35120,-131.18451699000002,40,3.244516134262085,872,356,105.86,0.0004,0.825981981981982
8855,35522,-129.80769458,40,0.172289177775383,872,360,105.53,0.0004,0.82399009009009
8945,35882,-127.26110166000001,41,0.15273606777191162,871,364,104.52,0.0004,0.8222063063063063
9071,36386,-127.31639921,41,2.2669577598571777,872,368,105.23,0.0004,0.819709009009009
9181,36826,-126.22460613999998,42,0.4067354202270508,871,372,104.19,0.0004,0.8175288288288288
9283,37234,-124.68232364,42,2.9634807109832764,871,376,104.22,0.0004,0.8155072072072073
9405,37724,-124.47585390999998,43,0.5129930973052979,872,380,104.71,0.0004,0.8130792792792793
9511,38148,-122.60243041,43,0.4742083251476288,871,384,105.2,0.0004,0.8109783783783784
9603,38516,-124.72825753,44,0.7762255668640137,870,388,104.98,0.0004,0.809154954954955
9696,38888,-121.55668787999998,44,0.29192832112312317,869,392,104.69,0.0004,0.8073117117117118
9816,39366,-124.96721023,45,0.5320753455162048,868,396,105.12,0.0004,0.8049432432432432
9922,39791,-124.18632638999999,45,1.8580176830291748,868,400,105.02,0.0004,0.8028373873873874
10068,40374,-125.8258132,46,0.5096373558044434,867,404,106.59,0.0004,0.7999486486486487
10171,40786,-124.58476795,47,0.8269374966621399,866,408,107.17,0.0004,0.7979072072072073
10297,41292,-127.76845825999999,47,0.6406736373901367,865,412,107.94,0.0004,0.7954
10396,41686,-126.59448810999999,48,0.27839750051498413,864,416,107.52,0.0004,0.7934477477477477
10514,42158,-124.05678811,48,0.5224026441574097,862,420,107.6,0.0004,0.7911090090090089
10624,42597,-122.76916122000003,49,1.7007333040237427,862,424,108.15,0.0004,0.7889337837837838
10724,42997,-121.82740204999999,49,0.6685171127319336,862,428,108.5,0.0004,0.7869518018018018
10809,43340,-121.4410423,50,0.22252610325813293,862,432,107.9,0.0004,0.7852522522522523
10931,43827,-116.25976059,50,0.29331812262535095,861,436,108.24,0.0004,0.7828391891891893
11030,44224,-116.69559772999999,51,0.5165411233901978,861,440,108.15,0.0004,0.7808720720720721
11136,44645,-119.41507853000002,51,0.25993049144744873,861,444,108.73,0.0004,0.778786036036036
11263,45155,-121.40364527,52,0.2470293641090393,861,448,109.7,0.0004,0.7762590090090089
11395,45683,-126.9910665,52,0.1109796017408371,862,452,109.9,0.0004,0.7736427927927928
11495,46082,-128.56510023,53,0.5772918462753296,861,456,109.62,0.0004,0.7716657657657657
11622,46592,-130.09103364999999,54,0.7170281410217285,861,460,110.7,0.0004,0.7691387387387387
11721,46985,-129.28519798,54,2.519022226333618,861,464,111.03,0.0004,0.7671914414414414
11837,47451,-129.53312525,55,0.15617051720619202,862,468,110.65,0.0004,0.7648824324324325
11955,47924,-129.45888568,55,3.4612746238708496,861,472,110.98,0.0004,0.7625387387387388
12065,48363,-130.33484667000002,56,4.168830394744873,861,476,111.29,0.0004,0.7603635135135135
12208,48936,-129.25342689999997,56,0.1395513117313385,858,480,112.12,0.0004,0.7575243243243244
12326,49406,-130.37086313,57,0.3956393301486969,856,484,112.58,0.0004,0.7551954954954956
12471,49988,-131.45529754,58,0.3711273670196533,854,488,114.72,0.0004,0.7523117117117117
12611,50548,-132.93804949,59,0.43071937561035156,853,492,116.6,0.0004,0.7495369369369369
12731,51026,-127.63659926,59,0.8892177939414978,852,496,116.6,0.0004,0.7471684684684683
12851,51507,-126.10832233,60,0.2156541347503662,850,500,117.16,0.0004,0.7447851351351351
12959,51937,-125.51518733999997,61,1.268465280532837,850,504,115.63,0.0004,0.7426545045045045
13082,52431,-127.04954757,61,1.5850825309753418,850,508,116.45,0.0004,0.7402067567567567
13203,52916,-123.82154737000002,62,0.4267187714576721,849,512,116.24,0.0004,0.7378036036036035
13313,53356,-121.61400502999999,62,3.1931800842285156,849,516,116.7,0.0004,0.7356234234234234
13439,53858,-122.21966176000002,63,3.5902292728424072,846,520,117.0,0.0004,0.7331360360360359
13539,54260,-120.95953281000001,64,0.7178446650505066,845,524,116.63,0.0004,0.7311441441441442
13646,54688,-119.53668101,64,0.4993553161621094,844,528,116.91,0.0004,0.7290234234234234
13750,55104,-117.5627022,65,0.7068978548049927,842,532,117.64,0.0004,0.7269621621621623
13847,55490,-118.42334100000002,65,0.5596373677253723,842,536,116.63,0.0004,0.7250495495495496
