time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/n_updates,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss
9800,266.94,296,0.0007,-0.00012647523544728756,9799,49000,-240.3857879638672,266.94,165,-0.2805026173591614,1.6146107100212248e-06
9900,271.26,296,0.0007,-0.0009495950653217733,9899,49500,-627.9650268554688,271.26,166,-0.4108726978302002,3.102969003521139e-06
10000,275.28,296,0.0007,-0.0010229895124211907,9999,50000,-34.96905517578125,275.28,168,-0.2587124705314636,1.5099067240953445e-06
10100,279.18,296,0.0007,-0.000612597621511668,10099,50500,-2.1571738719940186,279.18,170,-0.41090041399002075,1.9316678390168818e-06
10200,283.33,296,0.0007,-9.240618965122849e-05,10199,51000,-0.17158162593841553,283.33,172,-0.23778843879699707,9.81439370661974e-07
10300,287.12,296,0.0007,1.4912026244928711e-06,10299,51500,0.9832812547683716,287.12,173,-0.14224663376808167,4.26080104531934e-09
10400,290.77,295,0.0007,2.7016498279408552e-05,10399,52000,0.49336129426956177,290.77,175,-0.21175990998744965,2.5529880076646805e-07
10500,294.7,295,0.0007,4.427437306731008e-05,10499,52500,0.6309727430343628,294.7,177,-0.3290998041629791,1.968001015484333e-07
10600,299.01,295,0.0007,-6.198922346811742e-05,10599,53000,-10.009869575500488,299.01,179,-0.273449182510376,6.747432479414783e-08
10700,303.19,295,0.0007,-2.8459678560466273e-06,10699,53500,0.542222261428833,303.19,180,-0.1291351020336151,1.2258533743647604e-08
10800,307.7,295,0.0007,-8.657410216983408e-05,10799,54000,-883.4444580078125,307.7,182,-0.27157047390937805,2.1032757047123596e-07
10900,312.07,295,0.0007,-3.553260512489942e-06,10899,54500,-4.524723052978516,312.07,184,-0.16025356948375702,1.996522769331932e-08
11000,316.53,295,0.0007,1.389879616908729e-05,10999,55000,0.4563366770744324,316.53,186,-0.23382456600666046,1.744017907867601e-07
11100,320.9,295,0.0007,-0.0004692121874541044,11099,55500,-1.1710739135742188,320.9,187,-0.2728910446166992,1.3618264347314835e-06
11200,325.41,295,0.0007,-0.0004884631489403546,11199,56000,-3.633321762084961,325.41,189,-0.4049670398235321,1.777172997208254e-06
11300,329.95,295,0.0007,-0.001237973920069635,11299,56500,-2.025777816772461,329.95,191,-0.14616551995277405,2.9436894237733213e-06
11400,334.49,295,0.0007,2.6797515602083877e-05,11399,57000,0.19738423824310303,334.49,192,-0.21148906648159027,3.653927649338584e-07
11500,339.1,295,0.0007,-0.00013201174442656338,11499,57500,0.6401689052581787,339.1,194,-0.31505000591278076,1.2571457546073361e-06
11600,343.61,295,0.0007,0.0001162508997367695,11599,58000,-0.32520580291748047,343.61,196,-0.24859404563903809,9.723473795020254e-07
11700,348.21,295,0.0007,-0.0002335071621928364,11699,58500,0.6669856309890747,348.21,197,-0.32445114850997925,3.054621799947199e-07
11800,352.76,295,0.0007,-7.660174742341042e-05,11799,59000,-0.7224161624908447,352.76,199,-0.22833099961280823,1.8354970734435483e-06
11900,357.29,295,0.0007,-7.75922744651325e-05,11899,59500,0.05933833122253418,357.29,201,-0.2201264649629593,1.3343408227228792e-06
12000,361.92,295,0.0007,-0.0002835650520864874,11999,60000,0.6254522800445557,361.92,202,-0.23115777969360352,2.034823438634703e-07
12100,366.37,295,0.0007,3.68374639947433e-05,12099,60500,0.349547803401947,366.37,204,-0.17345397174358368,6.926013043084822e-07
12200,370.79,295,0.0007,6.434808165067807e-05,12199,61000,-1.839418888092041,370.79,206,-0.2743629217147827,5.634501576423645e-07
12300,375.39,295,0.0007,1.652503101468028e-06,12299,61500,-0.4891775846481323,375.39,208,-0.14657410979270935,1.5541445463895798e-08
12400,379.95,295,0.0007,-0.00042089735507033765,12399,62000,-0.313640832901001,379.95,209,-0.2249874621629715,1.3261800404507085e-06
12500,384.61,295,0.0007,-6.205555837368593e-05,12499,62500,nan,384.61,211,-0.06835895031690598,1.7761486503786728e-07
12600,389.08,295,0.0007,-0.0005438344669528306,12599,63000,-8.828989028930664,389.08,213,-0.10183751583099365,5.790381578663073e-07
12700,393.6,295,0.0007,5.034595596953295e-05,12699,63500,0.70029616355896,393.6,215,-0.08731882274150848,7.727648920763386e-08
12800,398.27,294,0.0007,0.00013830719399265945,12799,64000,0.010719001293182373,398.27,217,-0.2526647448539734,1.3390439335125848e-06
12900,402.67,294,0.0007,-4.869289114139974e-06,12899,64500,0.33496928215026855,402.67,218,-0.1529829502105713,1.9627623970563945e-08
13000,407.22,294,0.0007,0.00012390218034852296,12999,65000,0.13992208242416382,407.22,220,-0.2453611195087433,1.2512318789958954e-06
13100,411.77,294,0.0007,-1.8521641322877258e-06,13099,65500,-0.03626716136932373,411.77,222,-0.0805010199546814,1.5390105190249415e-08
13200,418.88,294,0.0007,7.651928899576887e-05,13199,66000,-3.3269362449645996,418.88,224,-0.28530043363571167,6.786664243918494e-07
13300,421.77,293,0.0007,-7.290043140528724e-05,13299,66500,0.9708092212677002,421.77,226,-0.348062664270401,1.0628718882799149e-07
13400,425.06,293,0.0007,-1.4540617485181428e-05,13399,67000,0.9862103462219238,425.06,228,-0.1173163652420044,3.218068798105378e-07
13500,428.43,293,0.0007,-5.521647381101502e-06,13499,67500,0.9779220223426819,428.43,229,-0.12533891201019287,6.292248144745827e-08
13600,433.06,293,0.0007,-3.650879443739541e-05,13599,68000,-3.2755160331726074,433.06,231,-0.13138997554779053,1.3386714954322088e-06
13700,437.65,293,0.0007,-7.260331040015444e-05,13699,68500,-21.364036560058594,437.65,233,-0.29059338569641113,2.0758015750743652e-07
13800,442.29,292,0.0007,-2.679972749319859e-05,13799,69000,0.8566362857818604,442.29,235,-0.24760568141937256,6.491318771395527e-08
13900,446.97,292,0.0007,0.0002036116347881034,13899,69500,0.20140910148620605,446.97,237,-0.16596397757530212,1.4093495337874629e-05
14000,451.52,292,0.0007,-2.2264404833549634e-05,13999,70000,0.9396960735321045,451.52,239,-0.24000394344329834,1.4714896856560244e-08
14100,456.0,292,0.0007,-0.0007025891100056469,14099,70500,-1.1103463172912598,456.0,240,-0.4148262143135071,2.839870376192266e-06
14200,460.53,293,0.0007,-0.0001343667827313766,14199,71000,-7.921697616577148,460.53,242,-0.3964950144290924,1.8081628638810798e-07
14300,465.08,293,0.0007,-2.578974272182677e-05,14299,71500,0.8511582612991333,465.08,243,-0.28452855348587036,2.8114300221204758e-08
