rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
24.72,520,12550,0.8756306306306307,518,24,24.72,3112,0.002139879623427987,0.0004
25.12,524,12685,0.8742927927927928,518,24,25.12,3146,0.012425231747329235,0.0004
25.04,528,12754,0.8736090090090091,518,24,25.04,3163,0.026954639703035355,0.0004
25.0,532,12835,0.8728063063063063,518,24,25.0,3183,0.008617076091468334,0.0004
24.96,536,12923,0.8719342342342342,517,24,24.96,3205,0.015484139323234558,0.0004
24.54,540,12977,0.8713990990990992,517,25,24.54,3219,0.005021062679588795,0.0004
24.81,544,13103,0.8701504504504505,517,25,24.81,3250,0.014408811926841736,0.0004
24.81,548,13186,0.869327927927928,517,25,24.81,3271,0.014988758601248264,0.0004
24.55,552,13283,0.8683666666666667,517,25,24.55,3295,0.03758290410041809,0.0004
23.86,556,13344,0.8677621621621622,517,25,23.86,3310,0.014161424711346626,0.0004
23.77,560,13457,0.8666423423423424,517,26,23.77,3339,0.0056447372771799564,0.0004
23.73,564,13528,0.8659387387387387,517,26,23.73,3356,0.007249030284583569,0.0004
23.24,568,13617,0.8650567567567568,516,26,23.24,3379,0.02608017809689045,0.0004
23.58,572,13748,0.8637585585585585,516,26,23.58,3411,0.02396261878311634,0.0004
23.44,576,13884,0.8624108108108108,516,26,23.44,3445,0.0007608132436871529,0.0004
23.91,580,14011,0.8611522522522523,516,27,23.91,3477,0.025667933747172356,0.0004
24.59,584,14140,0.8598738738738739,517,27,24.59,3509,0.02657584473490715,0.0004
24.7,588,14252,0.8587639639639639,517,27,24.7,3537,0.013732906430959702,0.0004
24.81,592,14348,0.8578126126126125,517,27,24.81,3561,0.026722192764282227,0.0004
24.07,596,14407,0.8572279279279279,517,27,24.07,3576,0.002552175894379616,0.0004
23.98,600,14496,0.8563459459459459,516,28,23.98,3598,0.017887167632579803,0.0004
24.0,604,14573,0.8555828828828829,516,28,24.0,3618,0.025774573907256126,0.0004
23.3,608,14633,0.8549882882882883,516,28,23.3,3633,0.007396785542368889,0.0004
23.58,612,14741,0.8539180180180179,515,28,23.58,3660,0.008439196273684502,0.0004
23.34,616,14798,0.8533531531531532,515,28,23.34,3674,0.014088360592722893,0.0004
23.35,620,14885,0.852490990990991,514,28,23.35,3696,0.012233933433890343,0.0004
22.63,624,14948,0.8518666666666665,514,29,22.63,3711,0.010166458785533905,0.0004
22.99,628,15053,0.8508261261261261,514,29,22.99,3738,0.011471890844404697,0.0004
23.08,632,15143,0.8499342342342343,514,29,23.08,3760,0.038775838911533356,0.0004
22.87,636,15210,0.8492702702702702,514,29,22.87,3777,0.007198268547654152,0.0004
23.14,640,15291,0.8484675675675676,514,29,23.14,3797,0.015670761466026306,0.0004
23.09,644,15412,0.8472684684684684,514,29,23.09,3827,0.014689849689602852,0.0004
23.08,648,15494,0.8464558558558559,514,30,23.08,3848,0.012857506051659584,0.0004
23.04,652,15587,0.8455342342342342,514,30,23.04,3871,0.01056255679577589,0.0004
23.41,656,15685,0.8445630630630632,514,30,23.41,3896,0.018141724169254303,0.0004
23.52,660,15809,0.8433342342342341,514,30,23.52,3927,0.0019517852924764156,0.0004
23.51,664,15879,0.8426405405405406,514,30,23.51,3944,0.019599754363298416,0.0004
23.84,668,16001,0.8414315315315315,513,31,23.84,3975,0.023110060021281242,0.0004
23.24,672,16072,0.8407279279279279,513,31,23.24,3992,0.002992337103933096,0.0004
22.69,676,16153,0.8399252252252253,513,31,22.69,4013,0.018643610179424286,0.0004
22.37,680,16248,0.8389837837837838,513,31,22.37,4036,0.025536229833960533,0.0004
21.94,684,16334,0.8381315315315315,512,31,21.94,4058,0.018528476357460022,0.0004
21.9,688,16442,0.8370612612612612,512,32,21.9,4085,0.029571793973445892,0.0004
21.97,692,16545,0.8360405405405406,512,32,21.97,4111,0.008007772266864777,0.0004
21.98,696,16605,0.8354459459459459,512,32,21.98,4126,0.009380429051816463,0.0004
21.81,700,16677,0.8347324324324324,512,32,21.81,4144,0.012834396213293076,0.0004
22.17,704,16790,0.8336126126126127,512,32,22.17,4172,0.0019832078833132982,0.0004
22.6,708,16893,0.8325918918918919,511,32,22.6,4198,0.02116529643535614,0.0004
22.51,712,16992,0.8316108108108109,511,33,22.51,4222,0.008091915398836136,0.0004
22.79,716,17077,0.8307684684684685,511,33,22.79,4244,0.00882232841104269,0.0004
22.61,720,17146,0.8300846846846848,511,33,22.61,4261,0.018514320254325867,0.0004
22.75,724,17223,0.8293216216216216,511,33,22.75,4280,0.010686404071748257,0.0004
22.59,728,17312,0.8284396396396396,511,33,22.59,4302,0.010556305758655071,0.0004
22.65,732,17408,0.8274882882882884,511,34,22.65,4326,0.01550253015011549,0.0004
22.84,736,17494,0.8266360360360361,511,34,22.84,4348,0.006450711749494076,0.0004
22.79,740,17570,0.8258828828828829,511,34,22.79,4367,0.019650589674711227,0.0004
22.64,744,17676,0.8248324324324324,511,34,22.64,4393,0.04161013662815094,0.0004
23.2,748,17814,0.8234648648648649,510,34,23.2,4428,0.0194535069167614,0.0004
23.25,752,17912,0.8224936936936937,510,35,23.25,4452,0.0240030474960804,0.0004
23.56,756,18041,0.8212153153153153,509,35,23.56,4485,0.012444581836462021,0.0004
22.8,760,18089,0.8207396396396396,509,35,22.8,4497,0.013426274992525578,0.0004
22.84,764,18163,0.8200063063063063,509,35,22.84,4515,0.01319111604243517,0.0004
22.45,768,18246,0.8191837837837838,509,35,22.45,4536,0.006699837744235992,0.0004
22.59,772,18331,0.8183414414414415,509,35,22.59,4557,0.014180629514157772,0.0004
22.84,776,18437,0.8172909909909909,509,36,22.84,4584,0.0017781341448426247,0.0004
22.58,780,18506,0.8166072072072073,509,36,22.58,4601,0.008163021877408028,0.0004
22.51,784,18585,0.8158243243243244,509,36,22.51,4621,0.0014608623459935188,0.0004
22.85,788,18727,0.8144171171171171,509,36,22.85,4656,0.008657517842948437,0.0004
22.76,792,18821,0.8134855855855856,509,36,22.76,4680,0.012272775173187256,0.0004
22.95,796,18900,0.8127027027027026,509,37,22.95,4699,0.005442175082862377,0.0004
23.57,800,19034,0.8113747747747748,509,37,23.57,4733,0.01749531365931034,0.0004
23.63,804,19153,0.8101954954954955,509,37,23.63,4763,0.015475623309612274,0.0004
23.57,808,19250,0.8092342342342342,509,37,23.57,4787,0.01507225539535284,0.0004
23.34,812,19326,0.8084810810810811,509,37,23.34,4806,0.013450415804982185,0.0004
24.17,816,19494,0.8068162162162162,508,38,24.17,4848,0.005340303294360638,0.0004
25.31,820,19677,0.8050027027027027,508,38,25.31,4894,0.013625050894916058,0.0004
25.93,824,19816,0.8036252252252252,508,38,25.93,4928,0.00883897952735424,0.0004
26.03,828,19915,0.8026441441441442,508,39,26.03,4953,0.026592571288347244,0.0004
26.16,832,20024,0.801563963963964,508,39,26.16,4980,0.158869668841362,0.0004
25.96,836,20090,0.80090990990991,508,39,25.96,4997,0.12228185683488846,0.0004
26.06,840,20176,0.8000576576576577,508,39,26.06,5018,0.006428681313991547,0.0004
25.82,844,20258,0.799245045045045,508,39,25.82,5039,0.02851254492998123,0.0004
25.79,848,20393,0.7979072072072073,508,40,25.79,5073,0.006662767380475998,0.0004
25.61,852,20473,0.7971144144144144,508,40,25.61,5093,0.020483525469899178,0.0004
25.25,856,20566,0.7961927927927929,508,40,25.25,5116,0.03946354240179062,0.0004
25.63,860,20652,0.7953405405405405,508,40,25.63,5137,0.06659861654043198,0.0004
26.19,864,20782,0.7940522522522523,508,40,26.19,5170,0.05065338686108589,0.0004
26.57,868,20903,0.7928531531531531,507,41,26.57,5200,0.001130961813032627,0.0004
26.61,872,20992,0.7919711711711712,507,41,26.61,5222,0.04621802270412445,0.0004
27.52,876,21189,0.7900189189189188,506,41,27.52,5272,0.002043668180704117,0.0004
28.77,880,21383,0.7880963963963965,507,42,28.77,5320,0.01559850201010704,0.0004
29.13,884,21498,0.7869567567567568,507,42,29.13,5349,0.00918479636311531,0.0004
28.84,888,21611,0.7858369369369369,507,42,28.84,5377,0.09242025762796402,0.0004
28.64,892,21685,0.7851036036036037,507,42,28.64,5396,0.03670177236199379,0.0004
28.53,896,21753,0.7844297297297297,507,42,28.53,5413,0.029744526371359825,0.0004
28.93,900,21927,0.7827054054054055,506,43,28.93,5456,0.006521554198116064,0.0004
29.07,904,22060,0.7813873873873873,506,43,29.07,5489,0.11410954594612122,0.0004
29.11,908,22161,0.7803864864864865,506,43,29.11,5515,0.03842878341674805,0.0004
29.29,912,22255,0.779454954954955,506,43,29.29,5538,0.035811129957437515,0.0004
28.94,916,22388,0.778136936936937,506,44,28.94,5571,0.06429687142372131,0.0004
28.56,920,22533,0.7767,505,44,28.56,5608,0.08420807123184204,0.0004
27.96,924,22612,0.7759171171171171,505,44,27.96,5627,0.04580162465572357,0.0004
28.65,928,22780,0.7742522522522522,505,45,28.65,5669,0.012888106517493725,0.0004
28.24,932,22848,0.7735783783783784,505,45,28.24,5686,0.06483002007007599,0.0004
29.26,936,23016,0.7719135135135136,505,45,29.26,5728,0.08903034776449203,0.0004
29.65,940,23141,0.7706747747747748,505,45,29.65,5760,0.02360524795949459,0.0004
29.93,944,23251,0.7695846846846847,504,46,29.93,5787,0.03938452899456024,0.0004
29.27,948,23320,0.7689009009009009,505,46,29.27,5804,0.04191575571894646,0.0004
30.14,952,23487,0.767245945945946,504,46,30.14,5846,0.03423126041889191,0.0004
30.24,956,23590,0.7662252252252253,504,46,30.24,5872,0.00930639635771513,0.0004
30.64,960,23716,0.7649765765765766,504,46,30.64,5903,0.01963731087744236,0.0004
