train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_loss
9599,48000,-69.2953866,272,176,9600,1.472777009010315,302.64,0.0007,-1.0115634202957153,0.648236870765686,-0.9783005118370056
9699,48500,-70.92192835,275,176,9700,1.2012296915054321,307.82,0.0007,-0.49000102281570435,0.24726945161819458,0.25531792640686035
9799,49000,-67.01689683000001,277,176,9800,3.8172738552093506,311.51,0.0007,-0.002594176447018981,-7.987022399902344e-06,0.0003322461561765522
9899,49500,-64.29616241000002,280,176,9900,27.06571388244629,312.31,0.0007,-0.6068701148033142,-4.0531158447265625e-05,-3.1508965492248535
9999,50000,-62.57502128000001,283,176,10000,20.93912696838379,314.73,0.0007,-0.5218474864959717,1.33514404296875e-05,-3.1186819076538086
10099,50500,-61.957251510000006,286,176,10100,35.922176361083984,316.75,0.0007,-0.39493227005004883,7.289648056030273e-05,-1.3434994220733643
10199,51000,-68.47281428000001,289,176,10200,3.721226215362549,316.28,0.0007,-0.5072836875915527,5.4717063903808594e-05,-0.4301712214946747
10299,51500,-68.74984162000001,291,176,10300,22.342041015625,316.06,0.0007,-0.7969027757644653,5.924701690673828e-05,-1.3840774297714233
10399,52000,-69.26304317,294,176,10400,0.6147012114524841,316.78,0.0007,-0.5342424511909485,-1.430511474609375e-05,0.09563954174518585
10499,52500,-73.79854911,297,176,10500,0.35033825039863586,317.28,0.0007,-0.5438992977142334,-3.0517578125e-05,0.10172438621520996
10599,53000,-74.48869291,300,176,10600,40.38845443725586,317.0,0.0007,-0.5263921618461609,-4.76837158203125e-07,1.8015297651290894
10699,53500,-76.7982841,303,176,10700,6.775424480438232,316.41,0.0007,-0.5144162178039551,2.8014183044433594e-06,0.9057838320732117
10799,54000,-83.20228039,306,176,10800,2.24456787109375,314.06,0.0007,-0.4567539393901825,-2.9802322387695312e-06,-0.3302726447582245
10899,54500,-85.13983621999999,308,176,10900,4.771965026855469,314.55,0.0007,-0.0012745275162160397,0.0003523826599121094,0.00023383452207781374
10999,55000,-85.11658977,311,176,11000,8.917741775512695,317.12,0.0007,-0.5235369801521301,7.748603820800781e-07,-1.6988776922225952
11099,55500,-88.39581797999999,314,176,11100,90.56160736083984,310.76,0.0007,-0.6398338675498962,-1.3113021850585938e-06,4.299772262573242
11199,56000,-93.25806016,317,176,11200,8.042511940002441,312.98,0.0007,-0.5376744866371155,1.1920928955078125e-07,0.27697041630744934
11299,56500,-90.41885355000002,319,176,11300,0.29112130403518677,314.66,0.0007,-0.05922528728842735,5.424022674560547e-06,-0.0037184038665145636
11399,57000,-90.05402012000002,322,176,11400,223.0675048828125,314.82,0.0007,-0.38617995381355286,1.6033649444580078e-05,-7.307183742523193
11499,57500,-91.71099588000001,325,176,11500,133.23062133789062,315.64,0.0007,-0.19102202355861664,-1.728534698486328e-05,6.069883346557617
11599,58000,-90.95382760000001,328,176,11600,41.751808166503906,318.98,0.0007,-0.0908539891242981,3.725290298461914e-05,-0.09101847559213638
11699,58500,-88.97704062000001,331,176,11700,44.712223052978516,319.39,0.0007,-0.4129316508769989,1.6033649444580078e-05,-1.9282630681991577
11799,59000,-88.72029542,334,176,11800,54.71611404418945,320.42,0.0007,-0.07785584777593613,4.51207160949707e-05,-0.1639060527086258
11899,59500,-93.30539528000001,336,176,11900,36.5276985168457,321.82,0.0007,-0.09747982025146484,5.3048133850097656e-05,-0.1475752294063568
11999,60000,-92.67770415000001,339,176,12000,155.8447265625,321.26,0.0007,-0.5598053336143494,-1.239776611328125e-05,3.0294482707977295
12099,60500,-86.36283872000001,342,176,12100,2.7418434619903564,322.21,0.0007,-0.6640498042106628,0.0,-0.8969520926475525
12199,61000,-87.75696903000002,344,176,12200,62.62349319458008,321.19,0.0007,-0.6300994157791138,-1.0728836059570312e-06,3.528614044189453
12299,61500,-90.23978354,347,176,12300,35.81298828125,320.54,0.0007,-0.33724918961524963,-5.960464477539062e-07,-2.518641710281372
12399,62000,-85.44932071000001,350,176,12400,38.83723449707031,321.3,0.0007,-0.7248567938804626,9.775161743164062e-06,-6.272683143615723
12499,62500,-81.42766725,353,177,12500,43.34785842895508,318.56,0.0007,-0.4794631600379944,-0.00048482418060302734,-0.7265644073486328
12599,63000,-77.79658313000002,355,177,12600,51.26517868041992,319.72,0.0007,-0.6489801406860352,-0.0023119449615478516,3.2651031017303467
12699,63500,-79.37042241,358,177,12700,87.25565338134766,321.63,0.0007,-0.4517849385738373,-0.00012969970703125,2.848433256149292
12799,64000,-82.28577894,361,177,12800,169.8792266845703,322.14,0.0007,-0.6082019209861755,-8.0108642578125e-05,6.433892726898193
12899,64500,-83.16904904,363,177,12900,28.211278915405273,321.36,0.0007,-0.6586071252822876,-1.3828277587890625e-05,2.294027328491211
12999,65000,-83.71434492000002,367,177,13000,35.5714225769043,320.91,0.0007,-0.09682425111532211,0.000331878662109375,-0.09350395202636719
13099,65500,-83.64791213000001,370,176,13100,59.484230041503906,322.07,0.0007,-0.5477566719055176,2.1636486053466797e-05,-5.228882789611816
13199,66000,-81.06896761,373,176,13200,40.4947395324707,326.53,0.0007,-0.5277621150016785,1.1742115020751953e-05,-1.243212103843689
13299,66500,-83.65045298999999,376,176,13300,19.327556610107422,324.66,0.0007,-0.24445246160030365,5.14984130859375e-05,-1.1178003549575806
13399,67000,-84.53395222,379,176,13400,4.727504730224609,322.13,0.0007,-0.658370316028595,-1.4781951904296875e-05,-2.7612643241882324
13499,67500,-85.77418988,382,176,13500,1.1141670942306519,322.62,0.0007,-0.6268230676651001,0.007016956806182861,0.41424304246902466
13599,68000,-87.37255271999999,385,176,13600,178.27752685546875,315.37,0.0007,-0.5779637694358826,-0.00377047061920166,7.174041748046875
13699,68500,-93.09299943,388,176,13700,11.393843650817871,314.05,0.0007,-0.0010730777867138386,-0.04562544822692871,-0.0005249619716778398
13799,69000,-93.08852663000002,392,175,13800,27.04837989807129,314.89,0.0007,-0.047563035041093826,-0.0011256933212280273,-0.04072529077529907
13899,69500,-95.34627618999998,395,175,13900,2.275161027908325,316.12,0.0007,-0.5352962613105774,0.0011156201362609863,-0.2835758626461029
13999,70000,-95.15400579999998,398,175,14000,6.3368048667907715,315.42,0.0007,-0.43176600337028503,-0.00013387203216552734,-0.4358657896518707
14099,70500,-94.19619668,402,175,14100,21.330814361572266,315.45,0.0007,-0.4739540219306946,-0.015781164169311523,2.6926097869873047
14199,71000,-88.81098762000002,405,175,14200,0.6416008472442627,317.47,0.0007,-1.305738091468811,-6.914138793945312e-05,-0.582351803779602
14299,71500,-90.62891813,408,174,14300,39.454952239990234,318.38,0.0007,-0.6503412127494812,-0.001131892204284668,-3.532506227493286
14399,72000,-92.65192246000001,411,174,14400,2.190459966659546,319.31,0.0007,-0.1612737476825714,-0.00011944770812988281,0.27322453260421753
14499,72500,-95.59998325000001,415,174,14500,24.456817626953125,319.79,0.0007,-0.5084072947502136,-0.0016859769821166992,2.6332004070281982
14599,73000,-94.10663594999998,418,174,14600,0.08515247702598572,319.64,0.0007,-0.2844061553478241,-0.11001420021057129,-0.27857163548469543
14699,73500,-91.21793559999998,421,174,14700,25.171998977661133,321.22,0.0007,-0.5783808827400208,-0.0002090930938720703,-1.1413614749908447
14799,74000,-93.21498037999999,424,174,14800,20.41554069519043,322.35,0.0007,-0.7218415141105652,-16.203039169311523,-2.4982926845550537
14899,74500,-92.20411379,427,174,14900,358.4054260253906,316.64,0.0007,-0.0017872065072879195,-0.033496856689453125,-0.003202596679329872
14999,75000,-91.0917334,430,174,15000,30.415252685546875,317.85,0.0007,-0.5435099005699158,0.0009877681732177734,-1.3862916231155396
15099,75500,-88.17216423999999,433,173,15100,4.083122730255127,319.38,0.0007,-0.012563633732497692,-0.04157304763793945,-0.004174505826085806
15199,76000,-93.25759458,437,173,15200,2.0064761638641357,312.23,0.0007,-0.5536565184593201,0.021188020706176758,-0.2637794613838196
15299,76500,-92.66214425,440,173,15300,4.291213512420654,311.3,0.0007,-0.514176070690155,0.005714356899261475,-0.01272709108889103
15399,77000,-92.48157097,443,173,15400,171.11026000976562,311.03,0.0007,-0.05054142698645592,0.028414130210876465,-0.11441614478826523
15499,77500,-97.95274162,446,173,15500,1.1797813177108765,311.02,0.0007,-0.014430224895477295,0.05616426467895508,-0.0008218472939915955
15599,78000,-96.95708373999997,449,173,15600,11.460688591003418,309.36,0.0007,-0.6454948782920837,-8.227104187011719,0.789959192276001
15699,78500,-94.49510912000001,452,173,15700,122.62384033203125,310.85,0.0007,-0.596491813659668,-0.027550339698791504,-6.478391170501709
15799,79000,-98.17012682000001,455,173,15800,10.080822944641113,302.43,0.0007,-0.5438971519470215,-0.023110389709472656,-1.1754257678985596
15899,79500,-94.25562776000001,458,173,15900,14.323984146118164,303.02,0.0007,-0.2593086361885071,-0.020602941513061523,0.755178689956665
15999,80000,-93.927591,461,173,16000,97.39510345458984,303.63,0.0007,-0.49796104431152344,0.17287564277648926,3.7816390991210938
16099,80500,-95.53541877000002,464,173,16100,73.69989013671875,303.18,0.0007,-0.34945863485336304,0.05700325965881348,-6.831104278564453
16199,81000,-94.97721609000001,467,173,16200,2.868093967437744,302.63,0.0007,-0.8943036198616028,-0.00675201416015625,0.5190344452857971
16299,81500,-94.45381827000001,471,172,16300,34.0201530456543,303.95,0.0007,-0.05624359846115112,0.09594744443893433,-0.04830378293991089
16399,82000,-94.88919580000004,474,172,16400,34.86065673828125,302.37,0.0007,-0.539874255657196,-0.019472122192382812,2.5785586833953857
16499,82500,-93.06951171000003,477,172,16500,33.653472900390625,300.16,0.0007,-0.26621919870376587,0.10619121789932251,-0.3621233105659485
16599,83000,-92.24327705000002,481,172,16600,31.237110137939453,300.63,0.0007,-0.0311235673725605,-0.10572731494903564,-0.032249078154563904
16699,83500,-93.88037698,484,172,16700,56.976680755615234,299.18,0.0007,-0.07443474978208542,0.02259880304336548,-0.08028499037027359
16799,84000,-89.72624433000001,487,172,16800,1.561457633972168,297.04,0.0007,-0.29126453399658203,0.9834350943565369,0.10375048220157623
16899,84500,-89.41825146000001,490,172,16900,12.142497062683105,294.14,0.0007,-0.6781730651855469,-0.8841714859008789,1.9188932180404663
16999,85000,-85.93024141000002,494,171,17000,6.9086222648620605,290.85,0.0007,-0.5340739488601685,-0.04431319236755371,1.3003333806991577
17099,85500,-83.12280387999999,497,171,17100,4.270235061645508,291.99,0.0007,-0.9861481785774231,-0.027901768684387207,-1.6220066547393799
17199,86000,-85.03696015,500,171,17200,13.194315910339355,293.24,0.0007,-0.4040573537349701,0.8125091791152954,0.9911783337593079
17299,86500,-85.39636931,503,171,17300,112.6525650024414,292.68,0.0007,-0.3453126847743988,0.05744391679763794,-4.186103343963623
17399,87000,-85.80440244000002,507,171,17400,103.4143295288086,290.63,0.0007,-0.5955793261528015,-0.0348057746887207,5.528628826141357
17499,87500,-86.99975075999998,511,171,17500,94.4922103881836,291.26,0.0007,-0.5646036267280579,0.020309031009674072,3.463860273361206
17599,88000,-84.04533355,514,171,17600,47.71889877319336,292.74,0.0007,-0.36136072874069214,-5.541458606719971,-1.1916629076004028
17699,88500,-80.95032549999999,517,170,17700,0.10696738213300705,293.92,0.0007,-0.38986852765083313,0.004918396472930908,-0.03990611061453819
17799,89000,-76.65754793,521,170,17800,4.531822204589844,295.45,0.0007,-0.20399096608161926,0.3173641562461853,-1.0099961757659912
17899,89500,-77.63368819,524,170,17900,106.792236328125,295.07,0.0007,-0.48715171217918396,-0.0017772912979125977,3.193833112716675
17999,90000,-80.50065977000001,528,170,18000,1.462799310684204,291.46,0.0007,-0.5717078447341919,-0.08784055709838867,0.48010358214378357
18099,90500,-79.31617395,531,170,18100,55.3704719543457,290.07,0.0007,-0.8727297186851501,0.001016378402709961,-3.67606520652771
18199,91000,-81.55293401000002,534,170,18200,27.01434898376465,286.13,0.0007,-0.5411842465400696,0.08357667922973633,3.0346736907958984
18299,91500,-81.71246138000001,538,170,18300,0.43018579483032227,285.86,0.0007,-0.6634060740470886,0.3226861357688904,0.3037444055080414
18399,92000,-80.83418364000003,541,169,18400,0.016797294840216637,284.17,0.0007,-0.30086326599121094,-0.14231038093566895,-0.07439178973436356
18499,92500,-81.2292397,545,169,18500,194.7723388671875,284.11,0.0007,-0.42118892073631287,0.003742992877960205,3.6813137531280518
18599,93000,-78.32263382000001,548,169,18600,45.99778366088867,284.5,0.0007,-0.32028448581695557,0.5676538944244385,-1.5257896184921265
18699,93500,-75.26184394,553,169,18700,85.81414031982422,283.81,0.0007,-0.11556675285100937,-5.972987174987793,-8.229229927062988
18799,94000,-71.15109327,557,168,18800,4.104455471038818,285.64,0.0007,-0.07782375067472458,-0.5418146848678589,0.0032429606653749943
18899,94500,-71.3745352,561,168,18900,5.603532314300537,282.22,0.0007,-0.6011889576911926,0.9216873645782471,-0.6315189599990845
18999,95000,-74.24623225,565,167,19000,58.39101791381836,281.7,0.0007,-0.53098464012146,-0.0064618587493896484,3.3360440731048584
19099,95500,-69.75926199,570,167,19100,69.21105194091797,283.45,0.0007,-0.6001893877983093,-0.0014102458953857422,2.958768606185913
19199,96000,-70.56739823,574,167,19200,10.266975402832031,281.52,0.0007,-0.59814453125,-0.3791022300720215,1.1965080499649048
19299,96500,-62.56058913999999,578,166,19300,13.401049613952637,281.35,0.0007,-0.05854185298085213,-0.19994688034057617,-0.03871212154626846
19399,97000,-63.90758061,583,166,19400,184.22433471679688,279.44,0.0007,-0.08183085918426514,0.11984336376190186,0.2083486169576645
19499,97500,-61.050762999999996,587,165,19500,0.0790938138961792,279.16,0.0007,-0.34189632534980774,1.3589859008789062e-05,-0.026855459436774254
19599,98000,-57.105148899999996,591,165,19600,5.858550548553467,280.17,0.0007,-0.0012238331837579608,0.5606275796890259,-0.00012286767014302313
19699,98500,-55.82891621999998,595,165,19700,14.408973693847656,279.81,0.0007,-0.2012823075056076,0.42043960094451904,-1.5790590047836304
19799,99000,-59.82924488999999,599,165,19800,96.25043487548828,276.23,0.0007,-0.508088231086731,-0.1764460802078247,5.059162139892578
19899,99500,-56.416961650000005,603,164,19900,5.977858066558838,274.42,0.0007,-0.18621926009655,-5.153482913970947,0.07683686167001724
